0.897        2.461      0.337       0.505       0.0         0.0          7    10
0.897        1.911      0.337       0.505       0.0         0.0          7    10
0.897        1.361      0.337       0.505       0.0         0.0          7    10
0.897        0.811      0.337       0.505       0.0         0.0          7    10
0.897        0.261      0.337       0.505       0.0         0.0          7    10
0.897       -0.261      0.337       0.505       0.0         0.0          7    10
0.897       -0.811      0.337       0.505       0.0         0.0          7    10
0.897       -1.361      0.337       0.505       0.0         0.0          7    10
0.897       -1.911      0.337       0.505       0.0         0.0          7    10
0.897       -2.461      0.337       0.505       0.0         0.0          7    10
0.897        1.361      0.337       0.505       0.0         0.0          7    10
0.897        0.811      0.337       0.505       0.0         0.0          7    10
0.897        0.261      0.337       0.505       0.0         0.0          7    10
0.897       -0.261      0.337       0.505       0.0         0.0          7    10
0.897       -0.811      0.337       0.505       0.0         0.0          7    10
0.897       -1.361      0.337       0.505       0.0         0.0          7    10
2.024        3.943      0.149       0.179       0.0         0.0          4     4
2.318        3.8455     0.187       0.375       0.0         0.0          5     4
2.024       -3.943      0.149       0.179       0.0         0.0          4     4
2.318       -3.8455     0.187       0.375       0.0         0.0          5     4
2.024        3.748      0.149       0.179       0.0         0.0          4     4
2.024       -3.748      0.149       0.179       0.0         0.0          4     4
3.9935       2.9075     0.368       0.282       0.0         0.0         10     6
3.9935      -2.9075     0.368       0.282       0.0         0.0         10     6
3.9935       2.7075     0.368       0.082       0.0         0.0         10     2
3.9935      -2.7075     0.368       0.082       0.0         0.0         10     2
3.8455       3.107      0.072       0.082       0.0         0.0          2     1
3.8455      -3.107      0.072       0.082       0.0         0.0          2     1
5.302        1.117      0.295       0.834       0.0         0.0          7     8
5.302       -1.117      0.295       0.834       0.0         0.0          7     8
2.098       -1.569      0.165       0.121       0.0         0.0         16    12
2.115       -1.662      0.131       0.059       0.0         0.0         13     6
2.132       -1.724      0.097       0.059       0.0         0.0         10     6
2.382       -1.911      0.031       0.059       0.0         0.0          3     6
2.518       -1.911      0.232       0.123       0.0         0.0         23    12
2.967       -1.911      0.031       0.059       0.0         0.0          3     6
2.831       -1.911      0.232       0.123       0.0         0.0         23    12
3.396       -1.543      0.198       0.183       0.0         0.0         20    18
3.362       -1.667      0.131       0.059       0.0         0.0         13     6
