 OH1U    OH   1  0.215175  1.056125  1.7950e-2 2.112250    0.0000     0.0000  112.000  30   Copper  ;Upper OH coil layer 1
 OH2U    OH   1  0.233125  1.047150  1.7950e-2 2.094300    0.0000     0.0000  110.000  30   Copper  ;Upper OH coil layer 2
 OH3U    OH   1  0.251075  1.038175  1.7950e-2 2.076350    0.0000     0.0000  109.500  30   Copper  ;Upper OH coil layer 3
 OH4U    OH   1  0.269025  1.029200  1.7950e-2 2.058400    0.0000     0.0000  108.500  30   Copper  ;Upper OH coil layer 4
 OH4L    OH   1  0.269025 -1.029200  1.7950e-2 2.058400    0.0000     0.0000  108.500  30   Copper  ;Upper OH coil layer 4
 OH3L    OH   1  0.251075 -1.038175  1.7950e-2 2.076350    0.0000     0.0000  109.500  30   Copper  ;Upper OH coil layer 3
 OH2L    OH   1  0.233125 -1.047150  1.7950e-2 2.094300    0.0000     0.0000  110.000  30   Copper  ;Upper OH coil layer 2
 OH1L    OH   1  0.215175 -1.056125  1.7950e-2 2.112250    0.0000     0.0000  112.000  30   Copper  ;Upper OH coil layer 1
 PF1AU   SC   1  0.3246    1.5906    0.0625    0.4634      0.0000     0.0000   64.0     1   Copper  ;Upper shaping coil 1AU
 PF1BU   SC   2  0.4003    1.8042    0.0338    0.1814      0.0000     0.0000   32.0     1   Copper  ;Upper shaping coil 1BU
 PF1CU   SC   3  0.5504    1.8156    0.0375    0.1664      0.0000     0.0000   20.0     1   Copper  ;Upper shaping coil 1CU
 PF2U1   SC   4  0.79917   1.85264   0.162712  0.06797     0.0000     0.0000   14.0     1   Copper  ;Upper shaping coil 2U
 PF2U2   SC   4  0.79917   1.93351   0.162712  0.06797     0.0000     0.0000   14.0     1   Copper  ;Upper shaping coil 2U
 PF3U1   SC   5  1.49446   1.55264   0.186436  0.06797     0.0000     0.0000   15.0     1   Copper  ;Upper shaping coil 3U
 PF3U2   SC   5  1.49446   1.63351   0.186436  0.06797     0.0000     0.0000   15.0     1   Copper  ;Upper shaping coil 3U
 PF4U1   SC   6  1.8065    0.8881    0.115265  0.06797     0.0000     0.0000    9.0     1   Copper  ;Upper shaping coil 4U
